CustID,Gender,AgeGroup,Purchase_Last_Quarter,Unique_Products_Purchased,Response_to_Campaign
100001,Female,30-50,Yes,9,Yes
100002,Male,>50,Yes,15,No
100003,Male,>50,Yes,11,No
100004,Female,30-50,No,6,No
100005,Female,<30,Yes,13,Yes
100006,Female,<30,No,5,No
100007,Female,30-50,Yes,12,No
100008,Female,>50,No,7,No
100009,Female,>50,Yes,15,Yes
100010,Male,30-50,Yes,7,Yes
100011,Male,30-50,Yes,8,Yes
100012,Female,30-50,Yes,14,Yes
100013,Female,30-50,Yes,13,Yes
100014,Male,<30,No,6,No
100015,Male,>50,Yes,14,No
100016,Female,<30,No,4,No
100017,Male,<30,Yes,9,No
100018,Male,<30,Yes,5,No
100019,Female,<30,Yes,5,No
100020,Female,30-50,Yes,11,Yes
100021,Female,<30,No,6,Yes
100022,Female,<30,No,6,No
100023,Female,30-50,Yes,11,No
100024,Female,30-50,Yes,11,Yes
100025,Female,30-50,Yes,6,Yes
100026,Male,>50,No,7,No
100027,Male,30-50,Yes,11,Yes
100028,Male,<30,Yes,13,No
100029,Male,30-50,Yes,9,No
100030,Female,<30,Yes,5,No
100031,Male,>50,No,3,No
100032,Female,>50,No,4,No
100033,Female,>50,No,1,No
100034,Female,>50,No,4,Yes
100035,Female,30-50,Yes,5,Yes
100036,Male,30-50,No,6,No
100037,Female,30-50,No,5,Yes
100038,Female,30-50,Yes,12,Yes
100039,Female,>50,No,5,No
100040,Female,30-50,No,7,No
100041,Female,30-50,Yes,13,No
100042,Male,30-50,Yes,10,Yes
100043,Male,30-50,Yes,12,No
100044,Female,>50,No,3,Yes
100045,Female,>50,Yes,10,No
100046,Male,30-50,No,7,No
100047,Female,<30,Yes,10,Yes
100048,Female,>50,No,1,No
100049,Female,30-50,Yes,6,Yes
100050,Female,30-50,No,3,No
100051,Male,>50,No,5,No
100052,Female,30-50,No,6,No
100053,Female,30-50,No,3,No
100054,Female,<30,Yes,13,Yes
100055,Male,>50,Yes,5,Yes
100056,Male,>50,Yes,11,No
100057,Female,>50,Yes,10,No
100058,Female,<30,No,1,No
100059,Female,30-50,Yes,10,No
100060,Female,30-50,No,2,Yes
100061,Female,30-50,No,1,No
100062,Female,<30,Yes,15,Yes
100063,Female,30-50,Yes,12,Yes
100064,Female,30-50,Yes,13,Yes
100065,Female,>50,No,1,Yes
100066,Male,30-50,Yes,7,No
100067,Female,30-50,Yes,13,No
100068,Male,30-50,No,6,No
100069,Male,>50,No,4,No
100070,Female,>50,No,5,No
100071,Male,30-50,Yes,14,No
100072,Female,30-50,Yes,13,No
100073,Female,30-50,Yes,10,Yes
100074,Female,30-50,Yes,8,Yes
100075,Male,>50,No,4,No
100076,Female,>50,Yes,12,Yes
100077,Female,30-50,No,2,Yes
100078,Male,30-50,Yes,6,Yes
100079,Male,30-50,No,5,Yes
100080,Female,30-50,No,4,Yes
100081,Male,30-50,No,2,Yes
100082,Female,>50,Yes,14,Yes
100083,Female,30-50,Yes,9,Yes
